漢字,名のり_before,名のり_after,分類_before,分類_after,不適切_before,不適切_after
入,,い いり しお,,#その他,1,0
卜,うら,うら,,#その他,1,0
体,なり み みる もと,なり み みる もと,,#その他,1,0
犬,,いぬ,,#その他,1,0
手,,た て,,#その他,1,0
切,,きり,,#その他,1,0
父,,たか のり,,#その他,1,0
毛,あつ,あつ,,#その他,1,0
化,のり,のり,,#その他,1,0
氏,,うじ,,#その他,1,0
井,きよ,きよ,,#その他,1,0
兄,,あに せ,,#その他,1,0
去,なる,なる,,#その他,1,0
班,つら なか ひとし,つら なか ひとし,,#その他,1,0
産,ただ むすび,ただ むすび,,#その他,1,0
他,ひと,ひと,,#その他,1,0
耳,み,み,,#その他,1,0
刷,きよ,きよ,,#その他,1,0
退,のく,のく,,#その他,1,0
値,あき あきら,あき あきら,,#その他,1,0
被,かず けさ まつ,かず けさ まつ,,#その他,1,0
停,とどむ,とどむ,,#その他,1,0
猪,,い いの,,#その他,1,0
歯,かた とし,かた とし,,#その他,1,0
衆,あつむ とも ひろ もり もろ,あつむ とも ひろ もり もろ,,#その他,1,0
補,さだ すけ たすく,さだ すけ たすく,,#その他,1,0
猪,,い いの,,#その他,1,0
数,のり ひら や,のり ひら や,,#その他,1,0
農,あつ あつし たか たみ つとむ とき とよ みのり みのる,あつ あつし たか たみ つとむ とき とよ みのり みのる,,#その他,1,0
該,かぬ かね,かぬ かね,,#その他,1,0
算,とも はかる,とも はかる,,#その他,1,0
慣,,なれ,,#その他,1,0
銅,かね,かね,,#その他,1,0
謁,つく ゆく,つく ゆく,,#その他,1,0
曖,あ,あ,,#その他,1,0
類,とも なお なし より,とも なお なし より,,#その他,1,0
離,あき あきら つら,あき あきら つら,,#その他,1,0
及,,いたる つぎ つぐ,,#その他,1,0
処,,すみ なり,,#その他,1,0
坦,たいら ひと ひろ,たいら ひと ひろ,,#その他,1,0
丙,あき あきら え,あき あきら え,,#その他,1,0
兒,,こ,,#その他,1,0
食,あき あきら うけ くら け みけ,あき あきら うけ くら け みけ,,#その他,1,0
吹,かぜ ふき ふく,かぜ ふき ふく,,#その他,1,0
単,いち ただ,いち ただ,,#その他,1,0
背,しろ のり,しろ のり,,#その他,1,0
耐,しのぶ たゆる つよし とう とおる,しのぶ たゆる つよし とう とおる,,#その他,1,0
堤,,つつみ,,#その他,1,0
雁,か,か,,#その他,1,0
楼,ろ,ろ,,#その他,1,0
轟,こう,こう,,#その他,1,0
此,この,この,,#その他,1,0
恆,,つね ひさ,,#その他,1,0
迂,すすむ とお ゆき,すすむ とお ゆき,,#その他,1,0
卒,たか,たか,,#その他,1,0
迫,とお,とお,,#その他,1,0
従,,より,,#その他,1,0
除,きよ さる のき,きよ さる のき,,#その他,1,0
匿,のく,のく,,#その他,1,0
倣,より,より,,#その他,1,0
逝,ゆき,ゆき,,#その他,1,0
乘,のり,のり,,#その他,1,0
神,,かみ こう しん,,#その他,1,0
祝,,いわい はじめ のり,,#その他,1,0
涉,,わたる,,#その他,1,0
転,ひろ,ひろ,,#その他,1,0
部,きつ もと,きつ もと,,#その他,1,0
牽,くる とき とし ひき,くる とき とし ひき,,#その他,1,0
雀,す すず わか,す すず わか,,#その他,1,0
逗,すみ,すみ,,#その他,1,0
釧,,くしろ,,#その他,1,0
軽,かる とし,かる とし,,#その他,1,0
堀,,ほり,,#その他,1,0
淀,,よど,,#その他,1,0
脹,はる,はる,,#その他,1,0
琵,ひ,ひ,,#その他,1,0
著,,あき あきら しげ つぐ,,#その他,1,0
視,,み みる,,#その他,1,0
鉱,かね ひろ ひろし,かね ひろ ひろし,,#その他,1,0
蒸,すすむ つぐ つまき,すすむ つぐ つまき,,#その他,1,0
殖,,しげる,,#その他,1,0
款,,まこと,,#その他,1,0
循,,したがう,,#その他,1,0
椅,あづ あづさ よし,あづ あづさ よし,,#その他,1,0
箇,かず とも,かず とも,,#その他,1,0
需,まち みつ もと もとむ もとめ,まち みつ もと もとむ もとめ,,#その他,1,0
摘,つみ つむ づみ づむ,つみ つむ づみ づむ,,#その他,1,0
閏,うる,うる,,#その他,1,0
箋,ふみ,ふみ,,#その他,1,0
貌,かた すがた とお,かた すがた とお,,#その他,1,0
斡,まる,まる,,#その他,1,0
爾,あきら ちか ちかし み みつる,あきら ちか ちかし み みつる,,#その他,1,0
銑,さね てつ,さね てつ,,#その他,1,0
漕,,こぐ,,#その他,1,0
爲,,なり なる,,#その他,1,0
遠,,おん とお とおく,,#その他,1,0
業,なり のり,なり のり,,#その他,1,0
試,もち,もち,,#その他,1,0
編,あみ よし,あみ よし,,#その他,1,0
震,おと なり なる のぶ,おと なり なる のぶ,,#その他,1,0
群,とも もと,とも もと,,#その他,1,0
衝,つぎ みち,つぎ みち,,#その他,1,0
請,うけ もとむ,うけ もとむ,,#その他,1,0
潜,すみ ひそみ ひそむ,すみ ひそみ ひそむ,,#その他,1,0
鋳,い,い,,#その他,1,0
稼,たか たね,たか たね,,#その他,1,0
蓄,おき,おき,,#その他,1,0
箸,あき あきら つく,あき あきら つく,,#その他,1,0
蕎,そ,そ,,#その他,1,0
播,はん ひろ まき,はん ひろ まき,,#その他,1,0
縣,,あがた,,#その他,1,0
與,,あたえ あと,,#その他,1,0
齢,なか よ,なか よ,,#その他,1,0
説,,とき,,#その他,1,0
雑,かず とも,かず とも,,#その他,1,0
繕,おさむ つよし よし,おさむ つよし よし,,#その他,1,0
徴,,あきら,,#その他,1,0
鎌,かね,かね,,#その他,1,0
叢,しげ むら,しげ むら,,#その他,1,0
酷,あつ,あつ,,#その他,1,0
銃,かね,かね,,#その他,1,0
蹴,ける,ける,,#その他,1,0
纂,,あつむ,,#その他,1,0
槍,しょう,しょう,,#その他,1,0
蔓,,つる,,#その他,1,0
別,のぶ わき,のぶ わき,,#その他,1,0
断,,さだ ただ,,#その他,1,0
審,あき あきら,あき あきら,,#その他,1,0
干,,もと,,#その他,1,0
片,,かた,,#その他,1,0
皿,,さら,,#その他,1,0
寺,,てら,,#その他,1,0
坂,,さか,,#その他,1,0
蔽,さだむ,さだむ,,#その他,1,0
尾,,お,,#その他,1,0
撫,やす よし,やす よし,,#その他,1,0
蕪,しげ しげる,しげ しげる,,#その他,1,0
鋒,さき,さき,,#その他,1,0
穀,,よし,,#その他,1,0
徵,,あきら,,#その他,1,0
頭,あき あきら はじめ,あき あきら はじめ,,#その他,1,0
肯,さき むね,さき むね,,#その他,1,0
機,,のり,,#その他,1,0
叔,すえ はじめ よし,すえ はじめ よし,,#その他,1,0
庚,か つぐ みちる やす,か つぐ みちる やす,,#その他,1,0
謀,こと のぶ,こと のぶ,,#その他,1,0
